movie_id,title,description,release_date,vote_avg,genres,actors,crew,keywords
19995,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",2009-12-10,7.2,"Adventure, Fantasy, Action, Science Fiction","Sam Worthington | Jake Sully | 0, Zoe Saldana | Neytiri | 1, Sigourney Weaver | Dr. Grace Augustine | 2, Stephen Lang | Col. Quaritch | 3, Michelle Rodriguez | Trudy Chacon | 4","James Cameron | Director, James Cameron | Producer, Jon Landau | Producer","culture clash, future, space war, space colony, society, space travel, futuristic, romance, space, alien, tribe, alien planet, cgi, marine, soldier, battle, love affair, anti war, power relations, mind and soul, 3d"
285,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",2007-05-19,6.9,"Adventure, Fantasy, Action","Johnny Depp | Captain Jack Sparrow | 0, Orlando Bloom | Will Turner | 1, Keira Knightley | Elizabeth Swann | 2, Stellan Skarsgård | William ""Bootstrap Bill"" Turner | 3, Chow Yun-fat | Captain Sao Feng | 4","Jerry Bruckheimer | Producer, Gore Verbinski | Director, Eric McLeod | Producer, Chad Oman | Producer, Peter Kohn | Producer, Pat Sandston | Producer","ocean, drug abuse, exotic island, east india trading company, love of one's life, traitor, shipwreck, strong woman, ship, alliance, calypso, afterlife, fighter, pirate, swashbuckler, aftercreditsstinger"
206647,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",2015-10-26,6.3,"Adventure, Action, Crime","Daniel Craig | James Bond | 0, Christoph Waltz | Blofeld | 1, Léa Seydoux | Madeleine | 2, Ralph Fiennes | M | 3, Monica Bellucci | Lucia | 4","Sam Mendes | Director, Barbara Broccoli | Producer, Michael G. Wilson | Producer","spy, based on novel, secret agent, sequel, mi6, british secret service, united kingdom"
49026,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",2012-07-16,7.6,"Drama, Action, Thriller, Crime","Christian Bale | Bruce Wayne / Batman | 0, Michael Caine | Alfred Pennyworth | 1, Gary Oldman | James Gordon | 2, Anne Hathaway | Selina Kyle / Catwoman | 3, Tom Hardy | Bane | 4","Charles Roven | Producer, Christopher Nolan | Director, Christopher Nolan | Producer, Emma Thomas | Producer","dc comics, crime fighter, terrorist, secret identity, burglar, hostage drama, time bomb, gotham city, vigilante, cover-up, superhero, villainess, tragic hero, terrorism, destruction, catwoman, cat burglar, imax, flood, criminal underworld, batman"
49529,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",2012-03-07,6.1,"Adventure, Action, Science Fiction","Taylor Kitsch | John Carter | 0, Lynn Collins | Dejah Thoris | 1, Samantha Morton | Sola | 2, Willem Dafoe | Tars Tarkas | 3, Thomas Haden Church | Tal Hajus | 4","Andrew Stanton | Director, Colin Wilson | Producer, Jim Morris | Producer, Lindsey Collins | Producer","based on novel, mars, medallion, space travel, princess, alien, steampunk, martian, escape, edgar rice burroughs, alien race, superhuman strength, mars civilization, sword and planet, 19th century, 3d"
559,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",2007-05-01,5.9,"Adventure, Fantasy, Action","Tobey Maguire | Peter Parker / Spider-Man | 0, Kirsten Dunst | Mary Jane Watson | 1, James Franco | Harry Osborn / New Goblin | 2, Thomas Haden Church | Flint Marko / Sandman | 3, Topher Grace | Eddie Brock / Venom | 4","Sam Raimi | Director, Avi Arad | Producer, Laura Ziskin | Producer, Grant Curtis | Producer","dual identity, amnesia, sandstorm, love of one's life, forgiveness, spider, wretch, death of a friend, egomania, sand, narcism, hostility, marvel comic, sequel, superhero, revenge"
38757,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",2010-11-24,7.4,"Animation, Family","Zachary Levi | Flynn Rider (voice) | 0, Mandy Moore | Rapunzel (voice) | 1, Donna Murphy | Mother Gothel (voice) | 2, Ron Perlman | Stabbington Brother (voice) | 3, M.C. Gainey | Captain of the Guard (voice) | 4","Roy Conli | Producer, Byron Howard | Director, Nathan Greno | Director","hostage, magic, horse, fairy tale, musical, princess, animation, tower, blonde woman, selfishness, healing power, based on fairy tale, duringcreditsstinger, healing gift, animal sidekick"
99861,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",2015-04-22,7.3,"Adventure, Action, Science Fiction","Robert Downey Jr. | Tony Stark / Iron Man | 0, Chris Hemsworth | Thor Odinson | 1, Mark Ruffalo | Bruce Banner / Hulk | 2, Chris Evans | Steve Rogers / Captain America | 3, Scarlett Johansson | Natasha Romanoff / Black Widow | 4","Kevin Feige | Producer, Joss Whedon | Director","marvel comic, sequel, superhero, based on comic book, vision, superhero team, duringcreditsstinger, marvel cinematic universe, 3d"
767,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",2009-07-07,7.4,"Adventure, Fantasy, Family","Daniel Radcliffe | Harry Potter | 0, Rupert Grint | Ron Weasley | 1, Emma Watson | Hermione Granger | 2, Tom Felton | Draco Malfoy | 3, Michael Gambon | Albus Dumbledore | 4","David Heyman | Producer, David Yates | Director, David Barron | Producer, Tim Lewis | Producer","witch, magic, broom, school of witchcraft, wizardry, apparition, teenage crush, werewolf"
209112,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",2016-03-23,5.7,"Adventure, Fantasy, Action","Ben Affleck | Bruce Wayne / Batman | 0, Henry Cavill | Clark Kent / Superman | 1, Gal Gadot | Diana Prince / Wonder Woman | 2, Amy Adams | Lois Lane | 3, Jesse Eisenberg | Lex Luthor | 4","Charles Roven | Producer, Zack Snyder | Director, Deborah Snyder | Producer","dc comics, vigilante, superhero, based on comic book, revenge, super powers, clark kent, bruce wayne, dc extended universe"
